Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,type
Total:,586941,"+26,641",23640.0,"+1,535",,526353,usa_table_countries_yesterday
USA Total,587173,232.0,23644.0,4.0,,526581,usa_table_countries_today
New York,195655,,10056.0,,,168510,usa_table_countries_today
New Jersey,64584,,2443.0,,,60870,usa_table_countries_today
Massachusetts,26867,,844.0,,,25294,usa_table_countries_today
Michigan,25635,,1602.0,,,23590,usa_table_countries_today
California,24371,232.0,731.0,4.0,,22700,usa_table_countries_today
Pennsylvania,24292,,590.0,,,23052,usa_table_countries_today
Illinois,22025,,794.0,,,21181,usa_table_countries_today
Florida,21019,,499.0,,,19895,usa_table_countries_today
Louisiana,21016,,884.0,,,20082,usa_table_countries_today
Texas,14277,,295.0,,,11968,usa_table_countries_today
Georgia,13621,,480.0,,,13110,usa_table_countries_today
Connecticut,13381,,602.0,,,12729,usa_table_countries_today
Washington,10703,,523.0,,,8855,usa_table_countries_today
Maryland,8936,,262.0,,,8071,usa_table_countries_today
Indiana,8236,,350.0,,,7872,usa_table_countries_today
Colorado,7684,,304.0,,,7340,usa_table_countries_today
Ohio,6975,,274.0,,,6581,usa_table_countries_today
Virginia,5747,,149.0,,,5131,usa_table_countries_today
Tennessee,5610,,109.0,,,3830,usa_table_countries_today
North Carolina,4884,,107.0,,,4691,usa_table_countries_today
Missouri,4510,,122.0,,,4204,usa_table_countries_today
Alabama,3803,,103.0,,,3680,usa_table_countries_today
Arizona,3702,,122.0,,,3540,usa_table_countries_today
South Carolina,3439,,87.0,,,3352,usa_table_countries_today
Wisconsin,3428,,154.0,,,3209,usa_table_countries_today
Rhode Island,2976,,73.0,,,2893,usa_table_countries_today
Nevada,2971,,120.0,,,1682,usa_table_countries_today
Mississippi,2942,,98.0,,,2844,usa_table_countries_today
Utah,2363,,18.0,,,2127,usa_table_countries_today
Oklahoma,2069,,99.0,,,910,usa_table_countries_today
Kentucky,2048,,104.0,,,1638,usa_table_countries_today
District Of Columbia,1955,,52.0,,,1396,usa_table_countries_today
Delaware,1761,,41.0,,,1443,usa_table_countries_today
Iowa,1710,,43.0,,,926,usa_table_countries_today
Minnesota,1650,,70.0,,,738,usa_table_countries_today
Oregon,1584,,53.0,,,1531,usa_table_countries_today
Arkansas,1475,,30.0,,,1018,usa_table_countries_today
Idaho,1453,,33.0,,,1396,usa_table_countries_today
Kansas,1376,,62.0,,,1186,usa_table_countries_today
New Mexico,1345,,31.0,,,1019,usa_table_countries_today
New Hampshire,1020,,23.0,,,748,usa_table_countries_today
Nebraska,871,,18.0,,,831,usa_table_countries_today
South Dakota,868,,6.0,,,655,usa_table_countries_today
Vermont,748,,28.0,,,720,usa_table_countries_today
Maine,698,,19.0,,,406,usa_table_countries_today
West Virginia,633,,9.0,,,539,usa_table_countries_today
Hawaii,504,,9.0,,,180,usa_table_countries_today
Montana,394,,7.0,,,216,usa_table_countries_today
North Dakota,331,,8.0,,,196,usa_table_countries_today
Alaska,277,,8.0,,,184,usa_table_countries_today
Wyoming,275,,1.0,,,134,usa_table_countries_today
Guam,133,,5.0,,,70,usa_table_countries_today
Northern Mariana Islands,11,,2.0,,,9,usa_table_countries_today
Puerto Rico,903,,45.0,,,854,usa_table_countries_today
United States Virgin Islands,51,,1.0,,,7,usa_table_countries_today
US Military,4528,,15.0,,,3925,usa_table_countries_today
Navajo Nation,698,,24.0,,,674,usa_table_countries_today
Grand Princess Ship,103,,3.0,,,100,usa_table_countries_today
Wuhan Repatriated,3,,,,,3,usa_table_countries_today
Diamond Princess Ship,46,,,,,46,usa_table_countries_today
Total:,587173,232.0,23644.0,4.0,,526581,usa_table_countries_today
